iter	Logloss	Accuracy
0	0.6713489949	0.7859281437
1	0.6542162074	0.7829341317
2	0.6388885269	0.7934131737
3	0.6221543744	0.8023952096
4	0.6062522668	0.8023952096
5	0.5917983347	0.8068862275
6	0.578335934	0.8068862275
7	0.5672823987	0.8038922156
8	0.5576861171	0.8068862275
9	0.5474186306	0.8053892216
10	0.5384813045	0.8068862275
11	0.5294359821	0.8083832335
12	0.5236304216	0.8083832335
13	0.5181052128	0.8068862275
14	0.5096949973	0.8053892216
15	0.5035952668	0.8068862275
16	0.497624638	0.8023952096
17	0.4938431807	0.8038922156
18	0.4890491318	0.8038922156
19	0.4835142471	0.8083832335
20	0.478184692	0.8098802395
21	0.4732783057	0.8113772455
22	0.4699163421	0.8143712575
23	0.4657580685	0.8158682635
24	0.4621078641	0.8173652695
25	0.4580471578	0.8173652695
26	0.4545640506	0.8173652695
27	0.4509231473	0.8188622754
28	0.4471612997	0.8218562874
29	0.4437328696	0.8203592814
30	0.4408648717	0.8233532934
31	0.4387064199	0.8248502994
32	0.4363905584	0.8248502994
33	0.4337556166	0.8233532934
34	0.4305645396	0.8263473054
35	0.4282369019	0.8218562874
36	0.4256155582	0.8263473054
37	0.4228658356	0.8263473054
38	0.4204559694	0.8293413174
39	0.4190467728	0.8308383234
40	0.4170420243	0.8293413174
41	0.4154884547	0.8278443114
42	0.4134561844	0.8293413174
43	0.4118753976	0.8293413174
44	0.4106480524	0.8278443114
45	0.4085120195	0.8293413174
46	0.4062616432	0.8308383234
47	0.403603669	0.8323353293
48	0.401792393	0.8338323353
49	0.4001695505	0.8353293413
50	0.3995446216	0.8338323353
51	0.3985978659	0.8368263473
52	0.3968000378	0.8368263473
53	0.3949428412	0.8323353293
54	0.3935038766	0.8323353293
55	0.3927678587	0.8353293413
56	0.3908936313	0.8398203593
57	0.390421266	0.8413173653
58	0.3884272854	0.8443113772
59	0.3869127402	0.8458083832
60	0.3860736056	0.8473053892
61	0.3849441746	0.8473053892
62	0.3837906066	0.8488023952
63	0.3829909926	0.8488023952
64	0.3820398907	0.8488023952
65	0.3802624601	0.8488023952
66	0.3785089586	0.8458083832
67	0.3766982946	0.8488023952
68	0.3758552215	0.8473053892
69	0.375297054	0.8488023952
70	0.3739109002	0.8517964072
71	0.3728601321	0.8517964072
72	0.3719719361	0.8517964072
73	0.3706458723	0.8532934132
74	0.3693466814	0.8577844311
75	0.3673105631	0.8577844311
76	0.3666045639	0.8592814371
77	0.3661702044	0.8577844311
78	0.3654538148	0.8577844311
79	0.3644677049	0.8577844311
80	0.362458002	0.8607784431
81	0.3615600167	0.8622754491
82	0.3607611937	0.8622754491
83	0.3601774013	0.8637724551
84	0.3591103249	0.8652694611
85	0.3574269556	0.8652694611
86	0.35656525	0.8637724551
87	0.3551709388	0.8652694611
88	0.3541313397	0.8652694611
89	0.3532668099	0.8667664671
90	0.3521848961	0.8637724551
91	0.3517863127	0.8637724551
92	0.3503909361	0.8652694611
93	0.3493808286	0.8682634731
94	0.3479977616	0.869760479
95	0.3466388263	0.8682634731
96	0.3448208192	0.869760479
97	0.3438750785	0.869760479
98	0.3427086973	0.874251497
99	0.3420789035	0.871257485
