iter	Passed	Remaining
0	60	6023
1	61	3037
2	62	2036
3	63	1535
4	65	1236
5	66	1036
6	67	893
7	68	785
8	69	703
9	70	636
10	72	582
11	73	539
12	74	498
13	75	464
14	76	435
15	78	409
16	79	385
17	80	364
18	81	345
19	82	329
20	83	313
21	84	298
22	85	286
23	86	274
24	87	262
25	89	254
26	91	246
27	92	237
28	93	229
29	95	221
30	96	214
31	97	207
32	98	200
33	99	193
34	100	187
35	101	181
36	103	175
37	104	170
38	106	166
39	107	161
40	108	156
41	109	151
42	111	147
43	112	142
44	113	138
45	114	134
46	115	130
47	117	126
48	118	123
49	120	120
50	121	116
51	122	113
52	124	110
53	125	107
54	127	103
55	128	100
56	129	97
57	130	94
58	131	91
59	133	88
60	134	86
61	135	83
62	136	80
63	138	77
64	139	74
65	140	72
66	142	70
67	144	67
68	146	65
69	148	63
70	149	61
71	151	59
72	153	56
73	154	54
74	155	51
75	156	49
76	157	47
77	159	44
78	160	42
79	161	40
80	162	38
81	164	36
82	165	33
83	166	31
84	167	29
85	168	27
86	169	25
87	171	23
88	172	21
89	173	19
90	174	17
91	175	15
92	176	13
93	178	11
94	179	9
95	180	7
96	182	5
97	183	3
98	184	1
99	185	0
